ID,Kanton,Bevoelkerung,Naturalisierungen,Prozentual
VD,Waadt,734356,4797,1.9509516837
VS,Wallis,321732,1614,2.2189227089
GE,Genf,463101,1734,0.9136028831
BE,Bern,992617,2545,1.7486481473
FR,Freiburg,291395,924,1.4945893923
SO,Solothurn,259283,1196,2.2489657766
NE,Neuenburg,174554,818,1.8601901123
JU,Jura,70942,192,1.9686250384
BS,Basel-Stadt,187425,1002,1.5449373237
BL,Basel-Landschaft,276537,776,1.3460537728
AG,Aargau,627340,2517,1.6955889089
ZH,Zürich,1408575,7907,2.1877230747
GL,Glarus,39369,77,0.8751989088
SH,Schaffhausen,77955,298,1.5334739875
AR,Appenzell A. Rh.,53438,105,1.3049962714
AI,Appenzell I. Rh.,15717,13,0.7859733978
SG,St. Gallen,487060,1476,1.3105438402
GR,Graubünden,193920,413,1.1964425389
TG,Thurgau,256213,710,1.1669186773
LU,Luzern,386082,1442,2.1420083185
UR,Uri,35693,99,2.4886877828
SZ,Schwyz,149830,532,1.7920905477
OW,Obwalden,36115,98,1.9242096996
NW,Nidwalden,41584,74,1.3508579774
ZG,Zug,116575,515,1.6861473987
TI,Tessin,341652,2187,2.3175720069
